N _ (akt.) suhčâdiđ
a'ldavuotâ a'ldavuođâ
a'lgâdâh a'lgâduv
a'lmai almaa
a'lmolâš a'lmolii
a'lmolâš maađij
a'lmos almoos
a'stottesvuotâ a'stottesvuođâ
aNo ano
aValâš aValii
aairâs airâs
aajâ aijuu
aalaaš alaččist
aamnâs amnâs
aarvâs arvâs
aasâ assuu
aaštâ aštuu
adde addâgâs
adelâš adelii
aggâ aagâ
ahheevvuotâ ahheevvuođâ
aikkâ aaihâ
aldasâš aldasii
alemus alemuu
N _ alemus muddoost
N _ alemuu muudon
alge a'lge
algâ aalgâ
arve a'rve
asalâš asalii
asosâš asosii
assaavuotâ assaavuođâ
asto a'sto
avra aavra
bilateraallâš bilateraallii
cagge cage
casâstuh casâstuv
ceeVi ceevi
ceehi ceeVi
ceehis ciäk'ká
ceggâ ceegâ
cekki ceehi
cerkki ceerhi
cibináš cibináá
ciccâ ciisâ
cimccâh cimcâheh
cirrá ciRá
N _ cisâstuuh-uv tun?
ciä'háttuh ciä'háttuv
ciäg'gud ciäg'guum
ciägus ciäg'gus
ciälus ciällus
cooskâs coskâs
N _ cuosân leđe
cuoz'zâ cuozâ
cuurmâs curmâs
cuáVis cuáHás
cuáhi cuáVi
cuáp'ci cuápci
cuápcu aašijn
cuár'tti cuárti
cyec'ci cyeci
cyez'zi cyezi
e'idusâš e'idusii
N _ eebir iäb'bár
eehi eeVi
eestâ estuu
eeti eđe
eeči eeJi
N _ eivi mie'ld
ekonomâlâš ekonomâlii
enni eeNi
ennuvvuotâ ennuvvuođâ
enâdâh enâduv
epimiä'Rulâš epimiä'Rulii
N _ eres iärrás
ergi eergi
N _ ergijn hästeea'lmai
N _ ergijn vyei'jee
ertti eerti
esteetlâš esteetlii
ettâ eeđâ
faadâr faddâr
N _ faaltân pieijâđ
faarpâl farppâl
faaskâ faskâm
fagge fage
falttâ faaltâ
falâldâh falâlduv
fardâ faardâ
fe'ilâlâš fe'ilâlâš
feilâ feeilâ
fiestâr fies'târ
fiijnes fijná
fiär'ttu fiärtu
fiär'vá fiärvá
fossiillâš fossiillii
N _ fossiillâš puáldámuš
fysikaallâš fysikaallii
N _ fysikaallâš tipšom
fáRulâš fáRulii
fááMu fáámu
fäggi fäägi
haaJâ haajâ
haablâs hablâs
haandâl handâl
haavdâr havddâr
hadde hade
haikkâ haaihâ
hattâ haatâ
havlâ haavlâ
haŋgâ haaŋgâ
haŋkkâ haaŋkâ
haškâ haaškâ
heMâdid heemmâd
heeitug heittug
heeppâdlâš heeppâdlii
heeđâlmlâš heeđâlmlii
hellá heLá
N _ hellâ jaamij
helmi heelmi
herttâ heertâ
hervâ heervâ
hijmâ hiijmâ
hinná hiiNá
hirmâdsâš hirmâdsii
hivvâdâh hivvâduv
hiä'ivulâš hiä'ivulii
hiä'juvuotâ hiä'juvuođâ
hiäJu hiäju
hiäi'mu hiäimu
hiäimulâš hiäimulii
hiäpášâtah jieijjâd
hiär'rávuotâ hiär'rávuođâ
hiäv'vu hiävu
hiäđulâš hiäđulii
hiđes hittáás
hovdâ hoovdâ
huMo humo
huRe hure
hulkkâ huulkâ
huo'lâlâš huo'lâlii
huoLâ huolâ
huuihâs huikkâs
huvvá huVá
huáp'pu huápu
huššâ huušâ
hyeNi hye'ne
hyel'kki hyelhi
háittu hááitu
hámálâš hámálii
hárjá háárjá
hástu háástu
hástálâs hástálii
háástus hástus
häcci hääci
hälbi häälbi
häppilvuotâ häppilvuođâ
härji häärji
härvi häärvi
hävski häävski
hävskivuotâ hävskivuođâ
hävvi hääVi
hääMi häämi
hääVi häävi
häärvis hárvás
i'skos iskos
iMe ime
idealistlâš idealistlii
ihe iVe
iidâ idduu
iirâs irrâs
ijjâ iijâ
ijjâsâš ijjâsii
ilbâdvuotâ ilbâdvuođâ
illâ iilâ
ilos illoos
immeev imeevah
ipto i'pto
irge i'rge
irrá iRá
irrát irrááttist
italialaš italialii
ittáš ittáá
ivne iivne
iä'láttâh iä'láttuv
iä'stuttes päälgis
iäRu iäru
iäh'tu iävtu
iäl'šu iälšu
N _ iänui ennuu
iär'gádâh iär'gáduv
iŋádâh iŋáduv
išálâš išálii
N _ išálâš jye'hivuođâst
ja'lŋes jalŋa
jaRe jare
jaamâs jaammâs
jeeVil jiäHál
jeggi jeegi
jergâ jeergâ
jesmi jeesmi
jiVe jive
jie'gâlâš jie'gâlii
jie'nâttemesvuotâ jie'nâttemesvuođâ
jieLâ jielâ
jieNâ jienâ
jieg'gâ jiegâ
N _ jieh-uv hepânâš!
N _ jiei'jâs peeleest
jiel'ttâ jieltâ
jier'mi jiermi
jiervâs jier'vâs
jiesâs jiessâs
jiev'jâ jievjâ
N _ jiev'jâ vuoptah
jievjâs jiev'jâs
jieŊâ jieŋâ
jiešráđálâš jiešráđálii
jiä'gástuh jiä'gástuv
jo'vgâttoh jo'vgâttuv
joRáduh joRáduv
jollâ jooLâ
jollâvuotâ jollâvuođâ
jorme jo'rme
jormo jo'rmo
jorŋâ joorŋâ
jotkâ joođhâ
joto jođo
jođádâh jođáduv
jođáttâh jođáttuv
ju'hlálâšvuotâ ju'hlálâšvuođâ
jukko juho
jukso juuvso
julle juLe
julme ju'lme
julástâh julástuv
juoNâ juonâ
juoVâ juovâ
juoigâ juoi'guu
N _ juolgij aln
juoŋâs juoŋŋâs
juuLâ juulâ
juuMâ juumâ
juuRâ juurâ
juucâ juusâ
juuhâ juuVâ
juulâs juullâs
juurdâ jurduu
N _ juurdâ puátá
juurdâlâš juurdâlii
juá'rbudekes juá'rbudiäk'ká
juá'ráduh juá'ráduv
juáháš juáh'háá
juáigus juái'gus
juálgálâš juálgálii
juár'mi juármi
juár'ŋi juárŋi
juáv'kku juávhu
juŋŋâ juuŋâ
N _ jye'hi iVe
N _ jye'hi kuálmád
N _ jye'hi ohtâ
N _ jye'hi áinoo
jye'mehâš jye'meháá
jyel'gi jyelgi
já'vkuttâh já'vkuttuv
jáldu jááldu
jávuttemesvuotâ jávuttemesvuo'â
jááMu jáámu
ka'lmadâh ka'lmaduv
ka'lmattâh ka'lmattuv
ka'škos kaškos
kaLes kallaas
kaSodâh kaSoduv
kaSosâš kaSosii
kaaVâ kaavâ
kaaidâs kaidâs
kaaljâ kaljâm
kaamâs kammâs
N _ kaavâ kappuu
kaiccâ kaaicâ
N _ kale váá
kalje ka'lje
kalvâ kaalvâ
kammâgâš kammâgáá
kandâ kaandâ
kannu kaaNu
karbâ kaarbâ
karâstâh karâstuv
kassâ kaasâ
kaŋgâ kaaŋgâ
keNigâsvuotâ keNigâsvuođâ
keVidâh keViduv
keeči keeJi
kerdi keerdi
kerni keerni
kerrisâš kerrisáá
kerâttuh kerâttuv
ketki keeđhi
kevhi keevhi
kevli keevli
kezzi keezi
keđgi keeđgi
ki'rholâš ki'rholii
ki'rholâš to'imâttâs
N _ ki'rjettum reeivâ
ki'rkes kirkkás
ki'rkesvuotâ ki'rkesvuođâ
kiMe kime
kiccâ kiicâ
kiddiittâh kiddiittuv
kie'les kiällás
kie'lâttesvuotâ kie'lâttesvuođâ
kie'res kiärrás
kie'resvuotâ kie'resvuođâ
kieJâ kiejâ
kieLâ kielâ
kied'di kiedi
kieg'gi kiegi
kiei'mi kieimi
kiel'dâ kieldâ
kiepâ kievâ
kier'dâvâš kier'dâváá
kietâ kieđâ
kiev'jâ kievjâ
kiev'râ kievrâ
kiev'đâ kievđâ
kievŋis kiäv'ŋá
kieđâkiäjulâš kieđâkiäjulii
kieš'kâ kieš'kâ
kihle ki'hle
kii kiän
N _ kii peri
N _ kii váá
kiidâs kiddâs
kiinii kiännii
kiirâs kiirrâs
kiistâ kistuu
kijkko kiijho
kikse kiivse
kiksâ kiivsâ
killeelvuotâ killeelvuođâ
kipo kivo
kisto ki'sto
kiä'mádâh kiä'máduv
kiä'rdulâš kiä'rdulii
kiäJus kiäččus
kiäSu kiäsu
kiäh'nu kiähnu
kiäi'nu kiäinu
kiäl'kká kiälhá
kiäl'lu kiäLu
N _ kiännii niähu
N _ kiännii saajeest
kiäpu kiävu
kiär'du kiärdu
kiärgus kiär'gus
kiärpáš kiär'ppáá
kiäs'tu kiästu
kiäv'ttu kiävtu
kiđđâ kiiđâ
ko'dáttâh ko'dáttuv
ko'lmâsvuotâ ko'lmâsvuođâ
ko'skâmus koskâmuu
ko'škes koškás
ko'škáduh ko'škáduv
koJo kojo
koLo kolo
kobbâ koobâ
kobdodâh kobdoduv
kodde kode
kodos koddoos
kohhum kohhuumeh
kolbâ koolbâ
koldâ kooldâ
kolšâ koolšâ
komme koMe
komodâh komoduv
konnâ kooNâ
koodâs koddâs
kooidâs koidâs
koolmâ kolmuu
koolmâs kolmâs
koopšâs kopšâs
koorrâdvuotâ koorrâdvuođâ
koorânj korânjeh
koorâs korrâs
kooskâš koskâš
kope kove
koppâ koopâ
korccâ koorcâ
korrâ koorâ
korŋiittâh korŋiittuv
koskâ kooskâ
koskâlumos koskâlummoos
koskâsâš koskâsii
koskâvuotâ koskâvuođâ
N _ koskâvuođâ rijdo
kossuvvuotâ kossuvvuođâ
N _ kote kiän
kotemuš kotemuu
kovjâ koovjâ
kovli koovli
kovoldâh kovolduv
kovádâh kováduv
kovŋâ koovŋâ
kozzâ koozâ
kočostâh kočostuv
kočâttâh kočâttuv
koško ko'ško
N _ koškoost leđe
kriittâlâš kriittâlii
ku'lgâttâh ku'lgâttuv
ku'lmâhâš ku'lmâháá
kuJe kuje
kuMe kume
kubbeel kubeleh
kubáloh kubáluv
N _ kuhes ääigi
kukke kuhe
kukse kuuvse
kulmâ kuulmâ
kulppo ku'lpo
kundá ku'ndá
kunnjo kunjo
kunnâ kuunâ
kuoJâ kuojâ
kuoRâ kuorâ
kuob'lâ kuoblâ
kuob'žâ kuobžâ
kuob'žâduh kuob'žâduv
kuod'duš kuod'duužii
kuoirâs kuoi'râs
kuol'gâ kuolgâ
kuolbâ kuol'bân
kuolmâs kuol'mâs
kuorijâš kuorijáá
kuostâ kuos'tuu
kuov'đâ kuovđâ
kuovskâs kuov'skâs
kuovđâš kuov'đâš
kuoŋâr kuoŋŋâr
kuoš'kâ kuoškâ
kurppe ku'rpe
kurrâ kuurâ
kussâ kuusâ
kustâ kuustâ
kutkâ kuuđhâ
kuttâ kuuđâ
kuulmâs kulmâs
kuuđhâš kuđhii
kuuđâs kuttâs
kuá'htulâš kuá'htulii
kuá'ivuttâh kuá'ivuttuv
kuá'ruldâh kuá'rulduv
kuá'rustâh kuá'rustuv
kuá'skulâš kuá'skulii
kuá'đuttâh kuá'đuttuv
kuáLus kuál'lus
kuáVi kuávi
kuábbáš kuáb'báá
N _ kuábbáš peri
N _ kuábbáš váá
kuád'dá kuádá
kuádui kuod'duu
kuáh'čá kuávčá
kuáhi kuáVi
kuái'vu kuáivu
kuáivis kuái'vás
kuák'ki kuáhi
kuál'kki kuálhi
kuál'lá kuáLá
kuál'ppihâš kuál'ppiháá
kuár'gu kuárgu
kuár'vi kuárvi
kuárus kuárrus
kuás'ki kuáski
kuástis kuás'tá
kuáti kuáđi
kuátu kuáđu
kuáv'kki kuávhi
kuáv'lu kuávlu
kuđjo ku'đjo
kuškâdiämááš kuškâdiämáá
N _ kužâstuuh-uv tun?
kužžâ kuužâ
kyeLi kye'le
kyeLi kyele
kyed'dee leđe
kyeh'ti kyevti
kyei'mi kyeimi
kyek'ki kyehi
kyeppir kye'pireh
kyermis kuár'má
kyes'si kyeSi
kyevtis kuáh'tá
kyeš'ši kyeŠi
ká'rtustâh ká'rtustuv
ká'včáldâh ká'včálduv
káigá kááigá
káinulâš káinulii
káisá kááisá
kákku kááhu
kálgu káálgu
kálládâh kálláduv
kálvu káálvu
káláttuh káláttuv
kánnu kááNu
kápuluh kápuluv
káttu káátu
kááhuš kahhuu
káálgus kálgus
kááđus káttus
käcci kääci
kähvi käähvi
kärdi käärdi
kärigâš kärigáá
kärži käärži
kässi kääSi
kävni käävni
kävppi käävpi
käzzi kääzi
kääLis kállá
käädis káddás
käärbis kárbá
käärgis kárgás
käävcis káhcás
la'bdastâh la'bdastuv
la'bdos labdos
la'htos lahtos
laVâlâš laVâlii
N _ laVâlâš tähidem
laaNâ laanâ
laainâs lainâs
laaiđâs laiđâs
laanjâs laannjâs
laanâs laannâs
laapâs lappâs
laavlâ lavluu
laavtâs lahtâs
laađâs laađđâs
laaštâ laštuu
laddâ laadâ
lahcâ laavcâ
lahhaaš lahhaa
lahko la'hko
lakke lahe
N _ lam koškoost
N _ lam vaaibâs
lamppu laampu
larmâ laarmâ
lavkke la'vhe
lavkkiittâh lavkkiittuv
lavkkâ laavhâ
lavđâ laavđâ
lašmâdvuotâ lašmâdvuođâ
leehi leeVi
leeĐi leđe
leggâ leegâ
leibi leeibi
leirâ leeirâ
N _ leđe kostnii
N _ leđe lappâsist
N _ leđe meddâl
N _ leđe njuNošist
N _ leđe seivâgist
N _ leđe vyesvistmin
leđmi leeđmi
li'hmádoh li'hmáduv
lie'gâsvuotâ lie'gâsvuođâ
lieMâ liemâ
liegâs lieg'gâs
liep'pi liepi
liestâš lies'tii
liev'gi lievgi
lieđ'vi lieđvi
lihâstâh lihâstuv
liivâh livvâh
liivâr livvâr
lijme liijme
lijmá liijmá
limppo limpo
lines linnáás
linesvuotâ linesvuođâ
litte lite
litto lito
livđe li'vđe
liä'vuttemesvuotâ liä'vuttemesvuođâ
liäh'tu liävtu
liähmus liäh'mus
liäpu liävu
liške li'ške
liške liš'ke
lo'igâttâh lo'igâttuv
loJe loje
loNje lonje
loNjo lonjo
loVe love
loVes lohháás
loddááš loddáá
loggâ loogâ
lohtâ loovtâ
lokke lohe
lonnjâ loonjâ
loovdâ lovduu
loovtâ lohtuu
loožâs ložžâs
loppâ loopâ
lote lođe
lovvááš lovváá
N _ luVâhánnáá poccuuh
luggo lugo
luhottesvuotâ luhottesvuođâ
lukko luho
luksâ luuvsâ
luobâl luob'bâl
luod'diittâh luod'diittuv
luod'dâ luodâ
luoh'tâ luovtâ
luoihâs luoi'kkâs
luovâs luovvâs
luoĐâ luođâ
lusme lu'sme
lusto lu'sto
luuVâ liävsuid
luuškâs luškâs
luá'duttâh luá'duttuv
luá'váttâh luá'váttuv
luáMi luámi
luák'ki luáhi
luák'ká luáhá
luás'tu luástu
luátis luát'tá
luátu luáđu
luáv'kku luávhu
luáđ'já luáđjá
luáž'ži luáži
luážus luáž'žus
luččâ luuJâ
N _ lye'me luámmán
lyeNi lye'ne
lyepi lye've
lyev'di lyevdi
lábbásâš lábbásáá
láddu láádu
lággu láágu
láirá lááirá
láppu láápu
lássá lááSá
lástu láástu
lávástâh lávástuv
lááJu lááju
lááitus láittus
láássáš lássáá
läbži lääbži
läddilâš läddiláá
lähji läähji
läigi lääigi
läivi lääivi
läiđi lääiđi
lävvi läävi
lävđi läävđi
lääMi läämi
lääVi läävi
lääbis lábbá
läämi láámmás
läätis láttá
läški lääški
maNje manje
maNo mano
maaVâ maavâ
maadâ madduu
maadâr maddâr
maahâ maaVâ
maainâs mainâs
maaizâs maizâs
maaldâs maldâs
maaŋgâs maŋgâs
maašinlâš maašinlii
N _ magneetlâš nääpi
majebáš majebáá
majemuš majemuu
malli maaLi
mandekes mandiäk'ká
N _ maneks ij
manemuš manemuu
N _ mannjeed eeHid
N _ maŊa ko
N _ maŊa tast
maŋgâ maaŋgâ
N _ mašináin tohhum
me'rhâlâš me'rhâlii
mecci meeci
meeRi mere
meestâ mestuu
N _ mere mild
N _ merettes purâdem
merkkâ meerhâ
mie'Lâsâš mie'Lâsii
mie'đes miättás
N _ mie'đetteijee hääMi
mieLâ mielâ
mieh'tâ mievtâ
miek'ki miehi
miel'kki mielhi
miel'li mieLi
mielgâs miel'gâs
mieskâs mies'kâs
miestâs mies'tâs
N _ mihheen monnân
N _ mii mon
N _ mii peri
N _ mii váá
miinstâr minstâr
N _ mij mii
mirkkâ miirhâ
misso miSo
mitto mito
miäNu miänu
miäldus miäl'dus
miälgus miäl'gus
miär'kká miärhá
miäđuš miättuš
mo'skos moskos
moive mooive
moivârâh moivâruv
mokke mohe
mollâ mooLâ
N _ mon kollii
monotoonlâš monotoonlii
mooLâ moolâ
