-arvoinen	-arvoidnen
-ban	-ban
-ciäkká	-ceahkká
-gin	-gidn
-gis	-gis
-go	-go
-gyettiđ	-guohttit
-gân	-gan
-gâs	-gas
-heivi	-heivi
-hân	-han
-kiärdásâš	-keardásaš
-kodde	-koddi
-kápuluh	-kápulut
-luággi	-loaggi
-lágán	-lágán
-mat	-mat
-piäiválâš	-peaiválaš
-piäivásâš	-peaivásaš
-poi	-poi
-ruottâ	-ruohtta
-râk	-rat
-sun	-sun
-tiepsi	-tieksi
-ttáá	-httá
aa-a	á-a
aabis	ábis
aabiskirje	ábiskirji
aaibâs	áibas
aaigâ	áiga
aainâs	áidnas
aainâs-uv	áidnas-uv
aairâs	áiras
aajâ	ája
aalaaš	áláš
aalbâhvyesi	álbahvuosi
aaleeb	áleat
aalmugjeessân	álbmugjeassan
aalmugjeessânvuotâ	álbmugjeassanvuota
aalmugškovlâ	álbmugikovla
aamnâs	ámnas
aanoost	ánost
aapiin	ápidn
aarrân	árran
aarâháldu	áraháldu
aassâmpäikki	ássampáihkki
aassâmsaje	ássamsaji
aassâmviäsu	ássamveasu
aassâđ	ássat
aasâ	ása
aavis	ávis
aavžâ	ávža
aaččân	áhččan
aaštâ	áita
abbâsiđ	abbasit
abstrakt	abstrakt
abstraktâ	abstrakta
acceem	ahccean
acceeđ	ahcceat
acâgâstiđ	acagastit
acâkkistiđ	acagkistit
acâttiđ	acadtit
adai	adai
adaldâh	adaldat
adaluhčâđ	adalukčat
addalâš	addalaš
adde addâgâs	adde addagas
addiittijjee	addihttdjjei
addiittâllâđ	addihttallat
addiđ	addit
addâgâs	addagas
adeliđ	adelit
adelâš	adelaš
adjektiiv	adjektiv
adjektijvâ	adjektdjva
aggâ	agga
agâstâllâđ	agastallat
ahevâššâđ	ahevaššat
ahheev	ahheav
ahheevvuotâ	ahheavvuota
aibâšiđ	aibašit
aikkâ	aihkka
aimâkkâššâđ	aimagkaššat
aimâsjieŋâ	aimasjieŋa
ain	aidn
ain-uv	aidn-uv
ainanneem-	aidnadneam-
aittâlâstiđ	aihttalastit
aitârdiđ	aitardit
aitârdâs	aitardas
aiđumeennâm	aiđumeadnan
aksel	aksel
alaniđ	alanit
alda	alda
aldaaš	aldáš
aldahyelkki	aldahuolhkki
aldaniđ	aldanit
aldaolmooš	aldaolbmoš
aldasáid	aldasáit
aldasâš	aldasaš
aldâgâs	aldagas
alemus	alemus
algaaš	algáš
alge	algi
algâ	alga
algâ-	alga-
algâttiđ	algadtit
algâttâs	algadtas
alkohollijgekevttee	alkoholldjgekevhttei
almaa	albmá
almai	albmai
almaš	albmaš
almenähki	albmenáhgi
almenäkki	albmenáhkki
almetuulâš	albmetulaš
almevierccâ	albmevierhcca
almolâš	albmolaš
almos	albmos
almostuđ	albmostut
almâsiđ	albmasit
alnaad	alnát
alnaan	alnán
alne	alni
alnees	alneas
alo	alo
alodâh	alodat
alosâš	alosaš
ama	ama
amahmis	amahmis
amal	amal
ambulans	ambulans
amnâslâš	amnaslaš
amâhân	amahan
anadâttâđ	anadadtat
anestiđ	anestit
anettiđ	anehttit
anneeđ	adneat
anneeđ ävkkin	adneađ ávhkkidn
ano	ano
anolâs	anolas
anolâš	anolaš
anopihtâseh	anopihtaset
ansun	ansun
apila	apila
apina	apidna
apseđ	akset
arbiđ	arbit
argument	argument
arguđ	argut
argâpihtâseh	argabihtaset
arkkâdâh	arhkkadat
artikkâl	artihkkal
arvaa	arvá
arvađ	arvat
arve-	arve-
arven	arven
arvenallii	arvenalli
arvesiiđâr	arvesiđar
arvetävgi	arvetávgi
arveuáhti	arveoahti
arvešoŋŋâ	arvešoŋŋa
arvâlistiđ	arvalistit
arvâlus	arvalus
arvâlâddâđ	arvaladdat
arvâlâs	arvalas
asalâš	asalaš
asettaa	asehttá
asettem	asehtten
asettuđ	asehttut
asfalt	asfalt
askadâllâđ	askadallat
askadâs	askadas
